date,bidclose
2019-03-03 20:00:00,111.855
2019-03-03 21:00:00,111.842
2019-03-03 22:00:00,111.812
2019-03-03 23:00:00,111.929
2019-03-04 00:00:00,111.973
2019-03-04 01:00:00,111.986
2019-03-04 02:00:00,111.979
2019-03-04 03:00:00,111.984
2019-03-04 04:00:00,111.955
2019-03-04 05:00:00,111.957
2019-03-04 06:00:00,111.951
2019-03-04 07:00:00,111.899
2019-03-04 08:00:00,111.866
2019-03-04 09:00:00,111.843
2019-03-04 10:00:00,111.854
2019-03-04 11:00:00,111.871
2019-03-04 12:00:00,111.944
2019-03-04 13:00:00,111.914
2019-03-04 14:00:00,111.945
2019-03-04 15:00:00,111.836
2019-03-04 16:00:00,111.68
2019-03-04 17:00:00,111.709
2019-03-04 18:00:00,111.737
2019-03-04 19:00:00,111.736
2019-03-04 20:00:00,111.692
2019-03-04 21:00:00,111.733
2019-03-04 22:00:00,111.737
2019-03-04 23:00:00,111.774
2019-03-05 00:00:00,111.836
2019-03-05 01:00:00,111.815
2019-03-05 02:00:00,111.88
2019-03-05 03:00:00,111.883
2019-03-05 04:00:00,111.887
2019-03-05 05:00:00,111.903
2019-03-05 06:00:00,111.914
2019-03-05 07:00:00,111.878
2019-03-05 08:00:00,111.93
2019-03-05 09:00:00,111.959
2019-03-05 10:00:00,111.947
2019-03-05 11:00:00,111.96
2019-03-05 12:00:00,111.913
2019-03-05 13:00:00,111.898
2019-03-05 14:00:00,111.824
2019-03-05 15:00:00,111.88
2019-03-05 16:00:00,111.981
2019-03-05 17:00:00,111.917
2019-03-05 18:00:00,111.846
2019-03-05 19:00:00,111.884
2019-03-05 20:00:00,111.864
2019-03-05 21:00:00,111.876
2019-03-05 22:00:00,111.882
2019-03-05 23:00:00,111.863
2019-03-06 00:00:00,111.781
2019-03-06 01:00:00,111.746
2019-03-06 02:00:00,111.781
2019-03-06 03:00:00,111.749
2019-03-06 04:00:00,111.76
2019-03-06 05:00:00,111.8
2019-03-06 06:00:00,111.807
2019-03-06 07:00:00,111.785
2019-03-06 08:00:00,111.815
2019-03-06 09:00:00,111.857
2019-03-06 10:00:00,111.87
2019-03-06 11:00:00,111.866
2019-03-06 12:00:00,111.792
2019-03-06 13:00:00,111.792
2019-03-06 14:00:00,111.721
2019-03-06 15:00:00,111.723
2019-03-06 16:00:00,111.662
2019-03-06 17:00:00,111.687
2019-03-06 18:00:00,111.747
2019-03-06 19:00:00,111.794
2019-03-06 20:00:00,111.748
2019-03-06 21:00:00,111.762
2019-03-06 22:00:00,111.694
2019-03-06 23:00:00,111.618
2019-03-07 00:00:00,111.617
2019-03-07 01:00:00,111.624
2019-03-07 02:00:00,111.661
2019-03-07 03:00:00,111.71
2019-03-07 04:00:00,111.674
2019-03-07 05:00:00,111.699
2019-03-07 06:00:00,111.741
2019-03-07 07:00:00,111.779
2019-03-07 08:00:00,111.717
2019-03-07 09:00:00,111.697
2019-03-07 10:00:00,111.651
2019-03-07 11:00:00,111.691
2019-03-07 12:00:00,111.735
2019-03-07 13:00:00,111.715
2019-03-07 14:00:00,111.581
2019-03-07 15:00:00,111.527
2019-03-07 16:00:00,111.597
2019-03-07 17:00:00,111.619
2019-03-07 18:00:00,111.52
2019-03-07 19:00:00,111.515
2019-03-07 20:00:00,111.621
2019-03-07 21:00:00,111.562
2019-03-07 22:00:00,111.606
2019-03-07 23:00:00,111.637
2019-03-08 00:00:00,111.469
2019-03-08 01:00:00,111.48
2019-03-08 02:00:00,111.491
2019-03-08 03:00:00,111.389
2019-03-08 04:00:00,111.235
2019-03-08 05:00:00,111.072
2019-03-08 06:00:00,111.078
2019-03-08 07:00:00,110.978
2019-03-08 08:00:00,111.014
2019-03-08 09:00:00,111.094
2019-03-08 10:00:00,111.161
2019-03-08 11:00:00,111.171
2019-03-08 12:00:00,111.124
2019-03-08 13:00:00,110.944
2019-03-08 14:00:00,111.061
2019-03-08 15:00:00,111.132
2019-03-08 16:00:00,111.107
2019-03-08 17:00:00,111.035
2019-03-08 18:00:00,111.075
2019-03-08 19:00:00,111.077
2019-03-08 20:00:00,111.124
2019-03-08 21:00:00,111.148
2019-03-10 18:00:00,111.089
2019-03-10 19:00:00,111.004
2019-03-10 20:00:00,110.99
2019-03-10 21:00:00,111.115
2019-03-10 22:00:00,111.084
2019-03-10 23:00:00,111.076
2019-03-11 00:00:00,110.88
2019-03-11 01:00:00,111.091
2019-03-11 02:00:00,111.09
2019-03-11 03:00:00,111.104
2019-03-11 04:00:00,111.111
2019-03-11 05:00:00,111.109
2019-03-11 06:00:00,111.171
2019-03-11 07:00:00,111.273
2019-03-11 08:00:00,111.216
2019-03-11 09:00:00,111.214
2019-03-11 10:00:00,111.244
2019-03-11 11:00:00,111.156
2019-03-11 12:00:00,111.119
2019-03-11 13:00:00,111.086
2019-03-11 14:00:00,111.197
2019-03-11 15:00:00,111.211
2019-03-11 16:00:00,111.235
2019-03-11 17:00:00,111.218
2019-03-11 18:00:00,111.218
2019-03-11 19:00:00,111.227
2019-03-11 20:00:00,111.188
2019-03-11 21:00:00,111.207
2019-03-11 22:00:00,111.321
2019-03-11 23:00:00,111.324
2019-03-12 00:00:00,111.417
2019-03-12 01:00:00,111.39
2019-03-12 02:00:00,111.359
2019-03-12 03:00:00,111.404
2019-03-12 04:00:00,111.341
2019-03-12 05:00:00,111.305
2019-03-12 06:00:00,111.318
2019-03-12 07:00:00,111.362
2019-03-12 08:00:00,111.401
2019-03-12 09:00:00,111.37
2019-03-12 10:00:00,111.337
2019-03-12 11:00:00,111.27
2019-03-12 12:00:00,111.191
2019-03-12 13:00:00,111.157
2019-03-12 14:00:00,111.246
2019-03-12 15:00:00,111.374
2019-03-12 16:00:00,111.361
2019-03-12 17:00:00,111.302
2019-03-12 18:00:00,111.272
2019-03-12 19:00:00,111.306
2019-03-12 20:00:00,111.339
2019-03-12 21:00:00,111.337
2019-03-12 22:00:00,111.308
2019-03-12 23:00:00,111.309
2019-03-13 00:00:00,111.296
2019-03-13 01:00:00,111.179
2019-03-13 02:00:00,111.19
2019-03-13 03:00:00,111.244
2019-03-13 04:00:00,111.287
2019-03-13 05:00:00,111.314
2019-03-13 06:00:00,111.309
2019-03-13 07:00:00,111.315
2019-03-13 08:00:00,111.332
2019-03-13 09:00:00,111.309
2019-03-13 10:00:00,111.346
2019-03-13 11:00:00,111.388
2019-03-13 12:00:00,111.387
2019-03-13 13:00:00,111.336
2019-03-13 14:00:00,111.331
2019-03-13 15:00:00,111.226
2019-03-13 16:00:00,111.241
2019-03-13 17:00:00,111.228
2019-03-13 18:00:00,111.026
2019-03-13 19:00:00,111.119
2019-03-13 20:00:00,111.144
2019-03-13 21:00:00,111.27
2019-03-13 22:00:00,111.249
2019-03-13 23:00:00,111.205
2019-03-14 00:00:00,111.209
2019-03-14 01:00:00,111.437
2019-03-14 02:00:00,111.449
2019-03-14 03:00:00,111.521
2019-03-14 04:00:00,111.588
2019-03-14 05:00:00,111.566
2019-03-14 06:00:00,111.559
2019-03-14 07:00:00,111.584
2019-03-14 08:00:00,111.68
2019-03-14 09:00:00,111.722
2019-03-14 10:00:00,111.607
2019-03-14 11:00:00,111.586
2019-03-14 12:00:00,111.643
2019-03-14 13:00:00,111.556
2019-03-14 14:00:00,111.601
2019-03-14 15:00:00,111.711
2019-03-14 16:00:00,111.725
2019-03-14 17:00:00,111.734
2019-03-14 18:00:00,111.736
2019-03-14 19:00:00,111.7
2019-03-14 20:00:00,111.676
2019-03-14 21:00:00,111.648
2019-03-14 22:00:00,111.689
2019-03-14 23:00:00,111.748
2019-03-15 00:00:00,111.85
2019-03-15 01:00:00,111.846
2019-03-15 02:00:00,111.701
2019-03-15 03:00:00,111.643
2019-03-15 04:00:00,111.691
2019-03-15 05:00:00,111.654
2019-03-15 06:00:00,111.687
2019-03-15 07:00:00,111.654
2019-03-15 08:00:00,111.666
2019-03-15 09:00:00,111.644
2019-03-15 10:00:00,111.71
2019-03-15 11:00:00,111.686
2019-03-15 12:00:00,111.648
2019-03-15 13:00:00,111.473
2019-03-15 14:00:00,111.481
2019-03-15 15:00:00,111.569
2019-03-15 16:00:00,111.508
2019-03-15 17:00:00,111.487
2019-03-15 18:00:00,111.488
2019-03-15 19:00:00,111.49
2019-03-15 20:00:00,111.445
2019-03-17 18:00:00,111.417
2019-03-17 19:00:00,111.417
2019-03-17 20:00:00,111.444
2019-03-17 21:00:00,111.467
2019-03-17 22:00:00,111.482
2019-03-17 23:00:00,111.547
2019-03-18 00:00:00,111.543
2019-03-18 01:00:00,111.555
2019-03-18 02:00:00,111.594
2019-03-18 03:00:00,111.541
2019-03-18 04:00:00,111.525
2019-03-18 05:00:00,111.563
2019-03-18 06:00:00,111.545
2019-03-18 07:00:00,111.481
2019-03-18 08:00:00,111.521
2019-03-18 09:00:00,111.477
2019-03-18 10:00:00,111.476
2019-03-18 11:00:00,111.508
2019-03-18 12:00:00,111.521
2019-03-18 13:00:00,111.52
2019-03-18 14:00:00,111.532
2019-03-18 15:00:00,111.401
2019-03-18 16:00:00,111.378
2019-03-18 17:00:00,111.425
2019-03-18 18:00:00,111.393
2019-03-18 19:00:00,111.389
2019-03-18 20:00:00,111.424
2019-03-18 21:00:00,111.434
2019-03-18 22:00:00,111.396
2019-03-18 23:00:00,111.378
2019-03-19 00:00:00,111.292
2019-03-19 01:00:00,111.276
2019-03-19 02:00:00,111.185
2019-03-19 03:00:00,111.201
2019-03-19 04:00:00,111.269
2019-03-19 05:00:00,111.263
2019-03-19 06:00:00,111.287
