date,bidopen,bidclose,bidhigh,bidlow,tickqty,bid_hl,bid_co
2019-04-11 00:00:00,110.981,111.063,111.125,110.981,9872,0.14400000000000546,0.08200000000000784
2019-04-11 01:00:00,111.063,111.057,111.101,111.026,5033,0.07500000000000284,-0.006000000000000227
2019-04-11 02:00:00,111.057,111.05,111.072,111.022,4415,0.04999999999999716,-0.007000000000005002
2019-04-11 03:00:00,111.05,111.055,111.07,111.034,3927,0.03599999999998715,0.005000000000009663
2019-04-11 04:00:00,111.055,111.051,111.094,111.04,4964,0.053999999999987836,-0.0040000000000048885
2019-04-11 05:00:00,111.051,111.066,111.084,111.044,4441,0.04000000000000625,0.015000000000000568
2019-04-11 06:00:00,111.066,111.135,111.138,111.044,7505,0.0940000000000083,0.06900000000000261
2019-04-11 07:00:00,111.135,111.088,111.162,111.066,9835,0.09600000000000364,-0.047000000000011255
2019-04-11 08:00:00,111.088,111.104,111.149,111.082,7437,0.06700000000000728,0.016000000000005343
2019-04-11 09:00:00,111.104,111.099,111.131,111.085,4325,0.04600000000000648,-0.0049999999999954525
2019-04-11 10:00:00,111.099,111.11,111.124,111.089,4804,0.03499999999999659,0.01099999999999568
2019-04-11 11:00:00,111.11,111.184,111.211,111.107,7899,0.1039999999999992,0.07399999999999807
2019-04-11 12:00:00,111.184,111.315,111.33,111.177,12835,0.1529999999999916,0.13100000000000023
2019-04-11 13:00:00,111.315,111.328,111.386,111.267,15409,0.11899999999999977,0.01300000000000523
2019-04-11 14:00:00,111.328,111.475,111.486,111.328,14723,0.15800000000000125,0.14699999999999136
2019-04-11 15:00:00,111.475,111.479,111.522,111.415,10582,0.10699999999999932,0.0040000000000048885
2019-04-11 16:00:00,111.479,111.563,111.57,111.475,7024,0.09499999999999886,0.08400000000000318
2019-04-11 17:00:00,111.563,111.558,111.632,111.549,7494,0.08299999999999841,-0.0049999999999954525
2019-04-11 18:00:00,111.558,111.66,111.685,111.553,6694,0.132000000000005,0.10199999999998965
2019-04-11 19:00:00,111.66,111.634,111.69,111.621,5398,0.06900000000000261,-0.02599999999999625
2019-04-11 20:00:00,111.634,111.63,111.668,111.621,3426,0.047000000000011255,-0.0040000000000048885
2019-04-11 21:00:00,111.63,111.613,111.652,111.604,22737,0.04800000000000182,-0.016999999999995907
2019-04-11 22:00:00,111.613,111.619,111.634,111.612,7582,0.02200000000000557,0.006000000000000227
2019-04-11 23:00:00,111.619,111.64,111.642,111.579,4112,0.06300000000000239,0.021000000000000796
2019-04-12 00:00:00,111.64,111.765,111.808,111.632,17250,0.17600000000000193,0.125
2019-04-12 01:00:00,111.765,111.706,111.812,111.695,9652,0.11700000000000443,-0.0589999999999975
2019-04-12 02:00:00,111.706,111.711,111.733,111.689,4331,0.04400000000001114,0.0049999999999954525
2019-04-12 03:00:00,111.711,111.752,111.772,111.711,3872,0.06100000000000705,0.04099999999999682
2019-04-12 04:00:00,111.752,111.738,111.758,111.718,3070,0.03999999999999204,-0.013999999999995794
2019-04-12 05:00:00,111.738,111.777,111.826,111.734,4653,0.09199999999999875,0.03900000000000148
2019-04-12 06:00:00,111.777,111.84,111.853,111.769,5663,0.08399999999998897,0.06300000000000239
2019-04-12 07:00:00,111.84,111.855,111.877,111.822,6599,0.05499999999999261,0.015000000000000568
2019-04-12 08:00:00,111.855,111.933,111.963,111.849,11932,0.11399999999999011,0.07800000000000296
2019-04-12 09:00:00,111.933,111.888,111.94,111.838,8778,0.10200000000000387,-0.045000000000001705
2019-04-12 10:00:00,111.888,111.946,111.962,111.882,9670,0.0799999999999983,0.057999999999992724
2019-04-12 11:00:00,111.946,111.976,111.986,111.934,9638,0.05200000000000671,0.030000000000001137
2019-04-12 12:00:00,111.976,111.946,111.987,111.914,10970,0.07299999999999329,-0.030000000000001137
2019-04-12 13:00:00,111.946,111.905,111.963,111.902,12453,0.06099999999999284,-0.04099999999999682
2019-04-12 14:00:00,111.905,111.965,111.972,111.848,15484,0.12399999999999523,0.060000000000002274
2019-04-12 15:00:00,111.965,111.992,112.016,111.945,9723,0.07100000000001216,0.027000000000001023
2019-04-12 16:00:00,111.992,112.021,112.033,111.988,5447,0.045000000000001705,0.028999999999996362
2019-04-12 17:00:00,112.021,112.017,112.025,111.988,3539,0.03700000000000614,-0.0040000000000048885
2019-04-12 18:00:00,112.017,112.075,112.08,112.006,5175,0.07399999999999807,0.058000000000006935
2019-04-12 19:00:00,112.075,112.004,112.091,111.994,5746,0.0969999999999942,-0.07099999999999795
